ka_pop,0.0380289,0.00117901,-2.65857e-06,-0.000701441,-0.000299879,0,0,0,0,0
V_pop,0.00117901,0.00166302,0.000963126,-0.00037405,-0.000197751,0,0,0,0,0
beta_V_logtWEIGHT,-2.65857e-06,0.000963126,0.0882961,-0.000184969,-0.0184041,0,0,0,0,0
Cl_pop,-0.000701441,-0.00037405,-0.000184969,0.00652152,0.00604089,0,0,0,0,0
beta_Cl_logtWEIGHT,-0.000299879,-0.000197751,-0.0184041,0.00604089,0.369644,0,0,0,0,0
omega_ka,0,0,0,0,0,0.0202744,-9.28843e-05,4.27746e-06,-0.000114602,-1.28695e-05
omega_V,0,0,0,0,0,-9.28843e-05,0.00132171,-1.61846e-05,-5.50923e-05,-3.97908e-05
omega_Cl,0,0,0,0,0,4.27746e-06,-1.61846e-05,0.0036588,-0.000412112,5.18827e-05
a,0,0,0,0,0,-0.000114602,-5.50923e-05,-0.000412112,0.015287,-0.00263442
b,0,0,0,0,0,-1.28695e-05,-3.97908e-05,5.18827e-05,-0.00263442,0.000560723
