ka_pop,1,0.148257,-4.58797e-05,-0.044541,-0.00252928,0,0,0,0,0
V_pop,0.148257,1,0.0794811,-0.113581,-0.00797586,0,0,0,0,0
beta_V_logtWEIGHT,-4.58797e-05,0.0794811,1,-0.0077082,-0.101872,0,0,0,0,0
Cl_pop,-0.044541,-0.113581,-0.0077082,1,0.123037,0,0,0,0,0
beta_Cl_logtWEIGHT,-0.00252928,-0.00797586,-0.101872,0.123037,1,0,0,0,0,0
omega_ka,0,0,0,0,0,1,-0.0179432,0.000496641,-0.00650965,-0.00381693
omega_V,0,0,0,0,0,-0.0179432,1,-0.00735979,-0.0122564,-0.0462212
omega_Cl,0,0,0,0,0,0.000496641,-0.00735979,1,-0.0551042,0.0362226
a,0,0,0,0,0,-0.00650965,-0.0122564,-0.0551042,1,-0.899807
b,0,0,0,0,0,-0.00381693,-0.0462212,0.0362226,-0.899807,1
