1,0,0,0,0,1
1,0.5,48.0538,0,0,1
1,1,69.6324,0,0,1
1,1.5,82.6102,0,0,1
1,2,89.5169,0,0,1
1,3,95.5737,0,0,1
1,4,97.5832,0,0,1
1,5,98.581,0,0,1
1,6,98.9045,0,0,1
1,7,99.0588,0,0,1
1,8,99.2134,0,0,1
1,9,99.368,0,0,1
1,10,99.5225,0,0,1
1,11,99.8461,0,0,1
1,12,99.8317,0,0,1
1,15,99.7899,0,0,1
1,18,99.9157,0,0,1
1,22,99.8591,0,0,1
2,0,0,0,0,2
2,0.5,9.60548,0,0,2
2,1,21.5718,0,0,2
2,1.5,32.5257,0,0,2
2,2,42.8054,0,0,2
2,3,60.329,0,0,2
2,4,73.3002,0,0,2
2,5,81.7179,0,0,2
2,6,86.9312,0,0,2
2,7,90.2898,0,0,2
2,8,92.4683,0,0,2
2,9,94.3089,0,0,2
2,10,95.307,0,0,2
2,11,96.1361,0,0,2
2,12,96.7963,0,0,2
2,15,98.1032,0,0,2
2,18,99.0725,0,0,2
2,22,99.8595,0,0,2
3,0,0,0,0,3
3,0.5,1.17409,0,0,3
3,1,4.70805,0,0,3
3,1.5,11.2778,0,0,3
3,2,18.3537,0,0,3
3,3,31.8305,0,0,3
3,4,44.1261,0,0,3
3,5,54.7363,0,0,3
3,6,63.154,0,0,3
3,7,69.8853,0,0,3
3,8,74.9307,0,0,3
3,9,78.7945,0,0,3
3,10,81.479,0,0,3
3,11,83.6572,0,0,3
3,12,85.8354,0,0,3
3,15,88.9969,0,0,3
3,18,90.8094,0,0,3
3,22,92.6078,0,0,3
